"","AIC.full","AIC.disc","LR.disc","AIC.cont","LR.cont"
"GSE12225.GPL3676_eset",NA,NA,NA,NA,NA
"GSE12945_eset",67.6112674759941,69.554970435329,0.0512084111750083,61.4991686294231,0.756367209029274
"GSE13067_eset",NA,NA,NA,NA,NA
"GSE17538.GPL570_eset",NA,NA,NA,NA,NA
"GSE2109_eset",NA,NA,NA,NA,NA
"GSE21510_eset",NA,NA,NA,NA,NA
"GSE33113_eset",NA,NA,NA,NA,NA
"GSE39582_eset",643.81850040555,690.644276549813,9.19015721862492e-12,636.409623965641,0.964044935396493
"TCGA.COAD_eset",128.979525902054,125.462538970711,0.785443671425176,135.720870717749,0.0052688761622936
"TCGA.RNASeqV2_eset",203.304023438743,212.263876783952,0.00153392315379013,197.013776498882,0.788945214768948
