"","AIC.full","AIC.disc","LR.disc","AIC.cont","LR.cont"
"GSE12225.GPL3676_eset",43.8451711913888,40.5231923634167,0.712474906779982,52.186137314146,0.00209022604912366
"GSE12945_eset",93.1105573294238,89.4865471473593,0.828618925747614,90.0856889655563,0.614119454738549
"GSE13067_eset",NA,NA,NA,NA,NA
"GSE13294_eset",NA,NA,NA,NA,NA
"GSE14095_eset",NA,NA,NA,NA,NA
"GSE14333_eset",120.208900266559,119.178610747726,0.22653513139647,120.582556454688,0.11227230160878
"GSE17536_eset",118.514724456454,117.415748937681,0.23445016243479,116.024562955178,0.470048569920065
"GSE17538.GPL570_eset",36.8873961398917,34.4128287729642,0.466397820708912,35.9566894475134,0.215531835068928
"GSE2109_eset",459.355465344649,459.926647970938,0.10171389955483,458.823934036055,0.176535313576138
"GSE21510_eset",83.3382209408988,81.7269631272165,0.302894386645628,79.5644225750339,0.893060619824454
"GSE21815_eset",176.744434190986,181.216780877554,0.0144628303732425,175.203717505931,0.292397337310747
"GSE26682.GPL570_eset",NA,NA,NA,NA,NA
"GSE26682.GPL96_eset",NA,NA,NA,NA,NA
"GSE33113_eset",NA,NA,NA,NA,NA
"GSE39582_eset",210.459319895234,219.493037327326,0.00147830559391438,216.301749992289,0.00729026743443237
"TCGA.COAD_eset",172.099076563454,171.082569014955,0.224979447419923,169.344599817323,0.536460885198635
"TCGA.RNASeqV2_eset",246.959654154524,249.791213246003,0.0328507880255015,249.776298672225,0.0330966814858442
"NHS.HPFS_eset",526.256772050024,530.855278846991,0.0135786931015283,523.016100053565,0.684091224041877
